PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
64952-P1A109J-0,4-Mar,FA30,SW,P1A109J,855,855-1,0-7114-855-1,,,855-143894SWP1A109J,#N/A
64952-P1A109J-0,4-Mar,FA29,SW,P1A109J,855,855-1,0-7114-855-1,,,855-143894SWP1A109J,#N/A
64952-P1A109J-0,4-Mar,FA19,SW,P1A109J,855,855-2,0-7114-855-2,,,855-243894SWP1A109J,#N/A
64952-P1A109J-0,4-Mar,FA28,BW,P1A109J,856,856-1,0-7114-856-1,,,856-143894BWP1A109J,#N/A
64960-P1A42M-0,4-Mar,FA20,SW,P1A42M,857,857-4,0-7114-857-4,,,857-443894SWP1A42M,#N/A
64960-P1A42M-0,4-Mar,FA19,SW,P1A42M,857,857-4,0-7114-857-4,,,857-443894SWP1A42M,#N/A
64960-P1A42M-0,4-Mar,FA17,SW,P1A42M,857,857-4,0-7114-857-4,,,857-443894SWP1A42M,#N/A
64960-P1A42M-0,4-Mar,FA18,SW,P1A42M,857,857-4,0-7114-857-4,,,857-443894SWP1A42M,#N/A
64966-P1A42M-0,4-Mar,FA6,SW,P1A42M,862,862-1,0-7114-862-1,,,862-143894SWP1A42M,#N/A
64994-P1B206BE-0,4-Mar,FA2,BW,P1B206BE,869,869-3,0-7114-869-3,,,869-343894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA1,BW,P1B206BE,869,869-3,0-7114-869-3,,,869-343894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA4,BW,P1B206BE,869,869-2,0-7114-869-2,,,869-243894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA5,BW,P1B206BE,869,869-2,0-7114-869-2,,,869-243894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA7,BW,P1B206BE,869,869-1,0-7114-869-1,,,869-143894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA8,BW,P1B206BE,869,869-1,0-7114-869-1,,,869-143894BWP1B206BE,#N/A
64994-P1B206BE-0,4-Mar,FA9,BW,P1B206BE,869,869-1,0-7114-869-1,,,869-143894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA1,BW,P1B206BE,870,870-2,0-7114-870-2,,,870-243894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA2,BW,P1B206BE,870,870-2,0-7114-870-2,,,870-243894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA3,BW,P1B206BE,870,870-2,0-7114-870-2,,,870-243894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA4,BW,P1B206BE,870,870-2,0-7114-870-2,,,870-243894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA5,BW,P1B206BE,870,870-2,0-7114-870-2,,,870-243894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA7,BW,P1B206BE,870,870-1,0-7114-870-1,,,870-143894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA8,BW,P1B206BE,870,870-1,0-7114-870-1,,,870-143894BWP1B206BE,#N/A
64996-P1B206BE-0,4-Mar,FA9,BW,P1B206BE,870,870-1,0-7114-870-1,,,870-143894BWP1B206BE,#N/A
65185-P1B43BL-0,4-Mar,FA13,BW,P1B43BL,900,900-2,0-7114-900-2,10S,,900-243894BWP1B43BL,#N/A
64420-P1B43BL-6,4-Mar,FA10,BW,P1B43BL,280,280-3,6-7114-280-3,10S,,280-343894BWP1B43BL,#N/A
64420-P1B43BL-6,4-Mar,FA3,OLET,P1B43BL,280,280-3,6-7114-280-3,,,280-343894OLETP1B43BL,#N/A
65421-P1A4L-0,4-Mar,FA31,OLET,P1A4L,928,928-1,0-7114-928-1,STD,,928-143894OLETP1A4L,#N/A
65186-P1B43BL-0,4-Mar,FA23,BW,P1B43BL,901,901-2,0-7114-901-2,10S,,901-243894BWP1B43BL,#N/A
65217-P1B386C-0,4-Mar,FA19,SW,P1B386C,910,910-1,0-7114-910-1,,,910-143894SWP1B386C,#N/A
