spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
133-2,MK-000-S15-9790-70-2,CS,2/20/2020,,1,70,133,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,21,12,3,6,10,,6,5,1,,,
133-3,MK-000-S15-9790-70-3,CS,2/18/2020,,1,70,133,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,1,6,19,2,27,,,,,
133-4,MK-000-S15-9790-70-4,CS,2/18/2020,,1,70,133,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/24/2020,3/17/2020,,3/4/2020,3/19/2020,30,4,2,9,13,2,24,,,,,
134-1,MK-000-SC-9167-10-1,CS,2/20/2020,,5,10,134,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/14/2020,3/26/2020,3/16/2020,3/18/2020,3/30/2020,39,11,12,4,8,4,16,2,2,,,
134-2,MK-000-SC-9167-10-2,CS,2/18/2020,,5,10,134,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,2,5,18,2,25,,,,,
135-1,MK-000-SC-9645-70-1,CS,2/18/2020,,1,70,135,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
135-2,MK-000-SC-9645-70-2,CS,2/18/2020,,1,70,135,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,1,5,19,2,26,,,,,
136-1,MK-000-WF-9379-40-1,CS,2/24/2020,,2,40,136,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,25,3,1,7,13,1,21,,,,,
136-2,MK-000-WF-9379-40-2,CS,2/24/2020,,2,40,136,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/17/2020,,3/4/2020,3/19/2020,24,3,1,5,13,2,20,,,,,
136-3,MK-000-WF-9379-40-3,CS,2/24/2020,,2,40,136,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/25/2020,,3/16/2020,3/26/2020,31,3,1,17,9,1,27,,,,,
136-4,MK-000-WF-9379-40-4,CS,2/24/2020,,2,40,136,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,2,4,15,1,20,,,,,
