spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
899-4,MK-000-S25-9628-10-4,CS,2/18/2020,,5,10,899,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,,3/1/2020,3/2/2020,3/17/2020,28,1,5,7,,,22,6,1,,,
900-1,MK-000-SC-9650-30-1,CS,2/18/2020,,3,30,900,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/21/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,2,4,14,3,21,4,0,,,
900-2,MK-000-SC-9650-30-2,CS,2/18/2020,,3,30,900,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/22/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,3,3,14,3,20,3,0,,,
901-1,MK-000-SC-9650-31-1,CS,2/18/2020,,3,30,901,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,3/9/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,48,1,19,15,9,4,28,14,1,,,
902-1,MK-000-SC-9651-40-1,CS,2/18/2020,,2,40,902,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,3,4,14,3,21,4,0,,,
902-2,MK-000-SC-9651-40-2,CS,2/18/2020,,2,40,902,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,3,4,14,3,21,4,0,,,
903-1,MK-000-SC-9651-41-1,CS,2/18/2020,,2,40,903,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/22/2020,,3/1/2020,3/2/2020,3/17/2020,28,1,3,9,,,24,8,1,,,
904-1,MK-000-SC-20253-60-1,CS,2/18/2020,,6,60,904,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/8/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,41,10,9,9,9,4,22,5,4,,,
904-2,MK-000-SC-20253-60-2,CS,2/18/2020,,6,60,904,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/1/2020,3/17/2020,3/3/2020,3/6/2020,3/23/2020,34,10,2,5,11,6,22,2,3,,,
905-1,MK-000-WF-9175-80-1,CS,2/11/2020,,4,80,905,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/15/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,4,4,13,2,19,3,1,,,
906-1,MK-000-WF-9175-81-1,CS,2/20/2020,,4,80,906,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/12/2020,3/26/2020,3/16/2020,3/18/2020,3/30/2020,39,6,15,6,8,4,18,4,2,,,
907-1,MK-000-WF-9538-10-1,CS,2/26/2020,,5,10,907,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,15,5,4,6,10,,6,5,1,,,
908-1,MK-000-WF-20033-60-1,CS,2/11/2020,,6,60,908,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/14/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,3,5,13,2,20,4,1,,,
909-1,MK-000-WF-20189-61-1,CS,2/27/2020,,6,60,909,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/29/2020,3/3/2020,3/25/2020,,3/11/2020,3/26/2020,28,2,3,8,14,1,23,,,,,
909-2,MK-000-WF-20189-61-2,CS,2/18/2020,,6,60,909,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/25/2020,3/3/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,41,7,7,14,9,4,27,10,4,,,
910-1,MK-000-WP-20255-55-1,CS,2/18/2020,,8,50,910,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/26/2020,,3/1/2020,3/2/2020,3/17/2020,28,3,5,5,,,20,4,1,,,
910-1R,MK-000-WP-20255-55-1R,CS,3/20/2020,,8,50,910,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/20/2020,3/23/2020,,4/8/2020,4/9/2020,5/20/2020,61,0,3,17,,,58,16,1,,,
911-1,MK-000-WS-9068-80-1,SS,2/14/2020,,4,80,911,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/21/2020,3/3/2020,,,3/10/2020,25,3,4,,,,,,,11,7,18
912-1,MK-000-CH-9020-72-1,SS,2/24/2020,,1,70,912,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,3/3/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,42,0,8,15,14,5,34,13,2,,,
912-2,MK-000-CH-9020-72-2,SS,2/24/2020,,1,70,912,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,3/3/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,42,0,8,15,14,5,34,13,2,,,
913-1,MK-000-CH-9720-70-1,SS,2/24/2020,,1,70,913,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,2/26/2020,,3/10/2020,3/11/2020,3/30/2020,35,0,2,14,,,33,13,1,,,
913-2,MK-000-CH-9720-70-2,SS,2/24/2020,,1,70,913,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,2/28/2020,,3/10/2020,3/11/2020,3/30/2020,35,0,4,12,,,31,11,1,,,
913-3,MK-000-CH-9720-70-3,SS,2/17/2020,,1,70,913,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/24/2020,,3/10/2020,3/11/2020,3/30/2020,42,1,6,16,,,35,15,1,,,
913-4,MK-000-CH-9720-70-4,SS,2/17/2020,,1,70,913,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/22/2020,,3/10/2020,3/11/2020,3/30/2020,42,1,4,18,,,37,17,1,,,
914-1,MK-000-CH-9720-71-1,SS,2/25/2020,,1,70,914,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/2/2020,,3/10/2020,3/11/2020,3/30/2020,34,1,5,9,,,28,8,1,,,
914-1A,MK-000-CH-9720-71-1A,SS,3/10/2020,,1,70,914,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/30/2020,5/4/2020,,,5/28/2020,6/10/2020,92,51,4,24,,,37,,,,,
915-1,MK-000-CWR-20107-61-1,CS,2/25/2020,,6,60,915,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/2/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,30,1,5,8,9,7,24,7,1,,,
917-1,MK-000-P-9015-70-1,CS,2/11/2020,,1,70,917,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/14/2020,3/24/2020,,,3/30/2020,48,0,3,,,,,,,39,6,45
917-2,MK-000-P-9015-70-2,CS,2/18/2020,,1,70,917,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/22/2020,3/24/2020,,,3/30/2020,41,0,4,,,,,,,31,6,37
918-1,MK-000-P-9060-80-1,CS,2/27/2020,,4,80,918,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/29/2020,3/1/2020,3/17/2020,,3/4/2020,3/19/2020,21,2,1,3,13,2,18,,,,,
918-2,MK-000-P-9060-80-2,CS,2/20/2020,,4,80,918,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/11/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,39,13,7,6,9,4,19,2,4,,,
919-1,MK-000-P-9332-10-1,SS,2/14/2020,,5,10,919,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/21/2020,3/2/2020,3/10/2020,3/11/2020,3/30/2020,45,3,4,19,,28,38,18,1,,,
920-1,MK-000-P-9342-80-1,CS,3/3/2020,,4,80,920,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/6/2020,3/9/2020,3/25/2020,,3/17/2020,3/26/2020,23,3,3,8,8,1,17,,,,,
920-2,MK-000-P-9342-80-2,CS,3/3/2020,,4,80,920,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/6/2020,3/6/2020,3/25/2020,,3/16/2020,3/26/2020,23,3,0,10,9,1,20,,,,,
920-3,MK-000-P-9342-80-3,CS,2/20/2020,,4,80,920,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/5/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,21,13,1,7,10,,7,6,1,,,
921-1,MK-000-P-9383-43-1,CS,2/28/2020,,2,40,921,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,6,4,10,9,23,,,,,
922-1,MK-000-P-9905-11-1,SS,4/9/2020,,5,10,922,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/29/2020,5/12/2020,,,,6/3/2020,55,20,13,,,,,,,,,22
922-2,MK-000-P-9905-11-2,SS,3/13/2020,,5,10,922,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/16/2020,4/1/2020,,,4/6/2020,24,0,3,,,,,,,16,5,21
922-3,MK-000-P-9905-11-3,SS,3/3/2020,,5,10,922,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/5/2020,3/17/2020,,,3/18/2020,15,1,1,,,,,,,12,1,13
923-1,MK-000-POWS-9278-70-1,CS,2/18/2020,,1,70,923,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/22/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,4,3,14,3,20,3,0,,,
923-2,MK-000-POWS-9278-70-2,CS,3/20/2020,,1,70,923,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/20/2020,3/21/2020,,4/8/2020,4/9/2020,5/20/2020,61,0,1,19,,,60,18,1,,,
923-2V,MK-000-POWS-9278-70-2V,CS,5/7/2020,,1,70,923,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/11/2020,5/11/2020,6/4/2020,6/4/2020,5/28/2020,6/9/2020,33,4,0,17,7,5,29,24,,,,
924-1,MK-000-S5-20145-60-1,CS,2/26/2020,,6,60,924,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/4/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,26,5,2,2,11,6,19,1,1,,,
925-1,MK-000-WF-9696-10-1,CS,2/14/2020,,5,10,925,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/19/2020,,,2/25/2020,3/19/2020,34,1,4,6,,,29,,,,,
925-2,MK-000-WF-9696-10-2,CS,2/18/2020,,5,10,925,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,5,1,14,3,18,1,0,,,
926-1,MK-000-CH-9825-70-1,SS,3/5/2020,,1,70,926,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,32,0,4,9,14,5,28,7,2,,,
926-2,MK-000-CH-9825-70-2,SS,4/13/2020,,1,70,926,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/30/2020,5/11/2020,,,5/28/2020,6/10/2020,58,17,11,17,,,30,,,,,
927-1,MK-000-GLS-20197-60-1,CS,3/4/2020,,6,60,927,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/10/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,5,3,10,9,22,,,,,
928-1,MK-000-NI-9953-70-1,CS,2/11/2020,,1,70,928,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/12/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,1,7,13,2,22,6,1,,,
928-2,MK-000-NI-9953-70-2,CS,2/6/2020,,1,70,928,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/19/2020,3/17/2020,3/3/2020,3/6/2020,3/23/2020,46,13,0,16,11,6,33,13,3,,,
929-1,MK-000-NI-9953-71-1,CS,2/18/2020,,1,70,929,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,3,4,14,3,21,4,0,,,
929-1A,MK-000-NI-9953-71-1A,CS,3/17/2020,,1,70,929,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/18/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,20,0,1,6,9,4,19,5,1,,,
929-2,MK-000-NI-9953-71-2,CS,2/11/2020,,1,70,929,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/12/2020,3/3/2020,,2/14/2020,3/5/2020,23,0,1,2,18,2,22,,,,,
930-1,MK-000-P-9324-81-1,CS,3/9/2020,,4,80,930,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2020,3/14/2020,,,3/17/2020,3/26/2020,17,2,3,3,,,12,,,,,
931-1,MK-000-P-20063-63-1,CS,3/9/2020,,6,60,931,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2020,3/14/2020,3/25/2020,,3/17/2020,3/26/2020,17,2,3,3,8,1,12,,,,,
931-2,MK-000-P-20063-63-2,CS,3/9/2020,,6,60,931,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2020,3/13/2020,,,3/17/2020,3/26/2020,17,2,2,4,,,13,,,,,
932-1,MK-000-P-20111-60-1,CS,3/9/2020,,6,60,932,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/12/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,2,4,9,1,14,,,,,
932-2,MK-000-P-20111-60-2,CS,2/18/2020,,6,60,932,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/26/2020,,3/1/2020,3/2/2020,3/17/2020,28,3,5,5,,,20,4,1,,,
933-1,MK-000-P-20111-61-1,CS,3/9/2020,,6,60,933,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/12/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,2,4,9,1,14,,,,,
934-1,MK-000-P-20112-60-1,CS,3/9/2020,,6,60,934,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/12/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,2,4,9,1,14,,,,,
934-1A,MK-000-P-20112-60-1A,CS,3/9/2020,,6,60,934,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/13/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,3,3,9,1,13,,,,,
934-2,MK-000-P-20112-60-2,CS,2/18/2020,,6,60,934,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/13/2020,3/26/2020,3/16/2020,3/18/2020,3/30/2020,41,21,3,5,8,4,17,3,2,,,
935-1,MK-000-P-20112-61-1,CS,3/9/2020,,6,60,935,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/12/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,2,4,9,1,14,,,,,
936-1,MK-000-P-20116-61-1,CS,3/9/2020,,6,60,936,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/13/2020,3/25/2020,,3/17/2020,3/26/2020,17,1,3,4,8,1,13,,,,,
937-1,MK-000-WP-20241-60-1,CS,2/28/2020,,6,60,937,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/5/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,2,8,10,9,27,,,,,
938-1,MK-000-WP-20257-60-1,CS,3/4/2020,,6,60,938,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/11/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,6,2,10,9,21,,,,,
939-1,MK-000-WP-20267-60-1,CS,3/13/2020,,6,60,939,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/17/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,24,0,4,7,9,4,20,6,1,,,
940-1,MK-000-CH-9020-73-1,SS,2/28/2020,,1,70,940,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/4/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,38,0,5,14,14,5,33,12,2,,,
940-2,MK-000-CH-9020-73-2,SS,2/11/2020,,1,70,940,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/18/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,6,22,,,41,21,1,,,
940-3,MK-000-CH-9020-73-3,SS,4/13/2020,,1,70,940,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2020,4/23/2020,,,5/28/2020,6/10/2020,58,1,9,35,,,48,,,,,
941-1,MK-000-POWS-9787-80-1,CS,2/28/2020,,4,80,941,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/4/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,1,9,10,9,28,,,,,
941-2,MK-000-POWS-9787-80-2,CS,2/28/2020,,4,80,941,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,6,4,10,9,23,,,,,
941-3,MK-000-POWS-9787-80-3,CS,2/18/2020,,4,80,941,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/26/2020,3/17/2020,3/3/2020,3/6/2020,3/23/2020,34,1,7,9,11,6,26,6,3,,,
942-1,MK-000-SC-9952-02-1,CS,2/26/2020,,5,10,942,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/7/2020,3/26/2020,3/16/2020,3/18/2020,3/30/2020,33,5,5,11,8,4,23,9,2,,,
942-2,MK-000-SC-9952-02-2,CS,3/4/2020,,5,10,942,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/10/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,5,3,10,9,22,,,,,
943-1,MK-000-WF-9954-40-1,CS,3/9/2020,,2,40,943,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/11/2020,3/25/2020,,3/17/2020,3/26/2020,17,1,1,6,8,1,15,,,,,
944-1,MK-000-WS-9291-22-1,SS,3/17/2020,,7,20,944,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/23/2020,4/1/2020,,,4/6/2020,20,0,6,,,,,,,9,5,14
944-2,MK-000-WS-9291-22-2,SS,2/14/2020,,7,20,944,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/25/2020,3/3/2020,,,3/10/2020,25,4,7,,,,,,,7,7,14
944-3,MK-000-WS-9291-22-3,SS,4/9/2020,,7,20,944,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2020,4/15/2020,,,,4/22/2020,13,0,6,,,,,,,,,7
945-1,MK-000-WS-9308-21-1,SS,3/20/2020,,7,20,945,ISS,ISS,BR,,2,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
945-2,MK-000-WS-9308-21-2,SS,2/14/2020,,7,20,945,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/20/2020,3/3/2020,,,3/10/2020,25,3,3,,,,,,,12,7,19
945-3,MK-000-WS-9308-21-3,SS,4/9/2020,,7,20,945,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2020,4/15/2020,,,,4/22/2020,13,0,6,,,,,,,,,7
946-1,MK-000-WS-9308-22-1,SS,3/20/2020,,7,20,946,ISS,ISS,BR,,3,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
947-1,MK-000-WS-9361-21-1,SS,3/20/2020,,7,20,947,ISS,ISS,BR,,3,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
947-2,MK-000-WS-9361-21-2,SS,3/20/2020,,7,20,947,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
947-3,MK-000-WS-9361-21-3,SS,4/9/2020,,7,20,947,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2020,4/15/2020,,,,4/22/2020,13,0,6,,,,,,,,,7
948-1,MK-000-WS-9362-21-1,SS,3/20/2020,,7,20,948,ISS,ISS,BR,,3,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/25/2020,4/1/2020,,,4/6/2020,17,3,2,,,,,,,7,5,12
948-2,MK-000-WS-9362-21-2,SS,3/20/2020,,7,20,948,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,4/22/2020,,,,6/3/2020,75,3,30,,,,,,,,,42
948-3,MK-000-WS-9362-21-3,SS,4/9/2020,,7,20,948,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2020,4/15/2020,,,,4/22/2020,13,0,6,,,,,,,,,7
949-1,MK-000-WS-9295-21-1,SS,3/20/2020,,7,20,949,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
949-2,MK-000-WS-9295-21-2,SS,3/20/2020,,7,20,949,ISS,ISS,BR,,3,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
949-3,MK-000-WS-9295-21-3,SS,4/9/2020,,7,20,949,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2020,4/20/2020,,,,6/3/2020,55,0,11,,,,,,,,,44
949-4,MK-000-WS-9295-21-4,SS,3/26/2020,,7,20,949,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/30/2020,4/1/2020,,,,4/22/2020,27,4,2,,,,,,,,,21
950-1,MK-000-WS-9361-20-1,SS,3/20/2020,,7,20,950,ISS,ISS,BR,,3,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/23/2020,3/24/2020,4/1/2020,,,4/6/2020,17,3,1,,,,,,,8,5,13
950-2,MK-000-WS-9361-20-2,SS,3/26/2020,,7,20,950,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/30/2020,5/6/2020,,,,6/3/2020,69,35,6,,,,,,,,,28
951-1,MK-000-NI-9092-81-1,CS,2/18/2020,,4,80,951,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/27/2020,3/12/2020,3/2/2020,3/3/2020,3/17/2020,28,1,8,5,9,5,19,4,1,,,
951-2,MK-000-NI-9092-81-2,CS,2/28/2020,,4,80,951,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/4/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,4,1,6,9,7,22,5,1,,,
952-1,MK-000-NI-20004-60-1,CS,2/28/2020,,6,60,952,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/5/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,4,2,5,9,7,21,4,1,,,
952-2,MK-000-NI-20004-60-2,CS,2/18/2020,,6,60,952,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/26/2020,,3/1/2020,3/2/2020,3/17/2020,28,3,5,5,,,20,4,1,,,
953-1,MK-000-P-9095-83-1,CS,3/13/2020,,4,80,953,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/15/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,24,0,2,9,9,4,22,8,1,,,
954-1,MK-000-P-9342-83-1,CS,3/13/2020,,4,80,954,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/15/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,24,0,2,9,9,4,22,8,1,,,
