,1773,,,,,,1773,1773,1773,1773,110,0,1750,0,689,1492,1288,1398,1772,,,,,,,
SHOP,ISO NO,PIECEMARK,REF. DWG.,LINE NO.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,PHASE,ON HOLD,OFF HOLD,HYDRO,HYDRO DATE
BR        ,     358-1,MK-000-P-9913-22-1,000-P-9913-22                                ,"900-P-9913-2""-T9NQ5S01-ET-3 1/2""-HC          ",NONE                     ,-                   ,04/09/2020,04/13/2020,04/15/2020,04/15/2020,,,04/21/2020,,,,,,04/22/2020,B3009     ,T9NQ5S01  ,CWA-5     ,,,N/A   ,
BR        ,     359-1,MK-000-P-9913-23-1,000-P-9913-23                                ,"900-P-9913-2""-T9NQ5S01-ET-3 1/2""-HC          ",NONE                     ,-                   ,04/14/2020,04/14/2020,04/15/2020,04/15/2020,,,04/21/2020,,,,,,04/22/2020,B3009     ,T9NQ5S01  ,CWA-5     ,,,N/A   ,
BR        ,     361-1,MK-000-P-9933-21-1,000-P-9933-21                                ,"900-P-9933-2""-T9SL5S01-ET-3 1/2""-HC          ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/19/2020,02/19/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     362-1,MK-000-P-9935-21-1,000-P-9935-21                                ,"900-P-9935-2""-T9SL5S01-ET-2 1/2""-HC          ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/17/2020,02/18/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     363-1,MK-000-P-9936-22-1,000-P-9936-22                                ,"900-P-9936-2""-T9SL5S01-ET-3""-HC              ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/17/2020,02/18/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     364-1,MK-000-P-9936-23-1,000-P-9936-23                                ,"900-P-9936-2""-T9SL5S01-ET-3""-HC              ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/17/2020,02/18/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     402-1,MK-000-P-9054-21-1,000-P-9054-21                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NONE                     ,-                   ,02/06/2020,02/13/2020,02/13/2020,02/13/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     402-2,MK-000-P-9054-21-2,000-P-9054-21                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/22/2020,02/22/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     402-3,MK-000-P-9054-21-3,000-P-9054-21                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/25/2020,02/27/2020,,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     402-4,MK-000-P-9054-21-4,000-P-9054-21                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NONE                     ,-                   ,02/06/2020,02/10/2020,02/11/2020,02/11/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     424-1,MK-000-P-9327-10-1,000-P-9327-10                                ,"900-P-9327-2""-T9NS5S01-ET-1 1/2""-HC          ",NO COATING               ,-                   ,02/18/2020,02/24/2020,02/24/2020,02/24/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T9NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     442-1,MK-000-P-9035-10-1,000-P-9035-10                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/26/2020,02/28/2020,03/02/2020,03/03/2020,03/06/2020,,03/09/2020,,,,,03/04/2020,03/11/2020,B3003     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     442-2,MK-000-P-9035-10-2,000-P-9035-10                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/26/2020,02/27/2020,02/29/2020,03/02/2020,03/06/2020,,03/09/2020,,,,,03/04/2020,03/11/2020,B3003     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     443-1,MK-000-P-9035-11-1,000-P-9035-11                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/26/2020,02/28/2020,03/02/2020,03/03/2020,03/10/2020,,03/10/2020,,,,,03/17/2020,03/18/2020,B3006     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     443-2,MK-000-P-9035-11-2,000-P-9035-11                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/28/2020,02/28/2020,03/06/2020,,03/10/2020,,,,,03/04/2020,03/11/2020,B3005     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     444-1,MK-000-P-9035-12-1,000-P-9035-12                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/21/2020,02/22/2020,03/03/2020,,02/28/2020,,,,,03/02/2020,03/13/2020,B3004     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     444-2,MK-000-P-9035-12-2,000-P-9035-12                                ,"900-P-9035-12""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,04/13/2020,04/14/2020,04/16/2020,04/16/2020,04/30/2020,,04/29/2020,,,,,,06/03/2020,B3010     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     445-1,MK-000-P-9039-12-1,000-P-9039-12                                ,"900-P-9039-14""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/20/2020,02/22/2020,02/27/2020,02/27/2020,03/06/2020,,03/09/2020,,,,,03/04/2020,03/11/2020,B3003     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     445-2,MK-000-P-9039-12-2,000-P-9039-12                                ,"900-P-9039-14""-T9SL5S01-NT-4 1/2""-HC         ",NONE                     ,-                   ,02/20/2020,02/24/2020,02/24/2020,02/26/2020,03/06/2020,,03/09/2020,,,,,03/04/2020,03/11/2020,B3003     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
