BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/FIELD/J04/316FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,316FB,,-,FB8,1,None,,
PIPING/FIELD/J04/317FA,1,1792-PV-1096~2,2,"- BALL VALVE BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  39 1792 PV 1096 2""",1,ea,1,VALVES / IN-LINE ITEMS,317FA,,-,FB8,1,None,,
PIPING/FIELD/J04/317FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,317FB,,-,FB8,1,None,,
PIPING/FIELD/J04/318FA,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,318FA,,-,FB8,1,None,,
PIPING/FIELD/J04/318FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,318FB,,-,FB8,1,None,,
PIPING/FIELD/J04/319FA,1,1792-PT-1096_TAP~3/4,4-Mar,"- PRESSURE TRANSMITTER BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  1 1792 PT 1096_TAP 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,319FA,,-,FB8,1,None,,
PIPING/FIELD/J04/319FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,319FB,,-,FB8,1,None,,
PIPING/FIELD/J04/320FA,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,320FA,,-,FB8,1,None,,
PIPING/FIELD/J04/320FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,320FB,,-,FB8,1,None,,
PIPING/FIELD/J04/320FC,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,320FC,,-,FB8,1,None,,
PIPING/FIELD/J04/321FA,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,321FA,,-,FB8,1,None,,
PIPING/FIELD/J04/321FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,321FB,,-,FB8,1,None,,
PIPING/FIELD/J04/321FC,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,321FC,,-,FB8,1,None,,
