,15069,,,,,,15069,15069,15069,15069,50,,4350,,15066,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,ISO NO.,PIECE MARK,REFERENCE DWG.,LINE NO.,PAINT SYS.,TOP COAT COLOR,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,READY TO SHIP COATING,SHIP TO COATING,READY TO SHIP,TO SITE,LOAD #,COMMENTS,LINE CLASS,AREA,ON HOLD,REL HOLD DATE,HYDRO,PWHT,PMI,ISSUE DATE,PRIORITY DATE,PRIORITY,PCI REV,BACK AT SHOP,FINAL CHECK,ORIGINAL PAINT LOAD,RT %,DESCRIPTION,PIPE FT,SO #,FAB CODE,RELEASE DATE,CLIENT REV,Pcmkiitemw,ID STATUS
BR        ,2030-B,MK-02016X-3137-001B,020-16X-3137-01,"4""-HM-020-3137-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/10/2017,3/10/2017,3/10/2017,,,,,4/12/2017,B3001,,4,16X       ,,,N/A   ,N/A   ,YES   ,2/17/2017,,-         ,1,,3/10/2017,,20,,20,6112,A135-01        ,,1,,FIELD     
BR        ,1183-B,MK-02016X-3617-001B,020-16X-3617-01,"6""-BD-020-3617-A135-01-N                     ",NONE                     ,N/A                 ,3/1/2017,3/3/2017,3/3/2017,3/3/2017,,,,,4/12/2017,B3001,,4,16X       ,,,N/A   ,N/A   ,YES   ,1/3/2017,,-         ,0,,3/3/2017,,20,,12.17,6112,A135-01        ,,1,,FIELD     
BR        ,1183-D,MK-02016X-3617-001D,020-16X-3617-01,"6""-BD-020-3617-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/14/2017,3/14/2017,3/14/2017,,,,,4/12/2017,B3001,,4,16X       ,,,N/A   ,N/A   ,YES   ,1/3/2017,,-         ,0,,,,20,,18.53,6112,A135-01        ,,1,,FIELD     
BR        ,687-B,MK-02017X-3023-001B,020-17X-3023-01,"10""-WP-020-3023-B135-40-N                    ",NONE                     ,N/A                 ,2/15/2017,3/5/2017,3/5/2017,3/5/2017,,,,,4/12/2017,B3001,,4,17X       ,,,N/A   ,N/A   ,YES   ,12/13/2016,,-         ,0,,3/5/2017,,20,,5.52,6112,B135-40        ,,1,,FIELD     
BR        ,4974-A,MK-02017X-3908-001A,020-17X-3908-01,"2""-XX-020-3908-A135-01-N                     ",NONE                     ,N/A                 ,4/2/2017,4/5/2017,4/5/2017,4/5/2017,,,,,4/12/2017,B3001,,4,17X       ,,,N/A   ,N/A   ,YES   ,3/23/2017,,-         ,0,,4/5/2017,,20,,0.24,6112,A135-01        ,,1,,FIELD     
BR        ,3066-B,MK-02018X-3127-003B,020-18X-3127-03,"3""-DW-020-3127-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/9/2017,4/9/2017,4/9/2017,,,,,4/12/2017,B3001,,4,18X       ,,,N/A   ,N/A   ,YES   ,3/27/2017,,-         ,0,,4/9/2017,,20,,12.77,6112,A135-01        ,,1RL   ,,FIELD     
BR        ,1868-C,MK-02018X-3128-001C,020-18X-3128-01,"3""-WT-020-3128-A135-41-N                     ",NONE                     ,N/A                 ,3/31/2017,4/2/2017,4/4/2017,4/4/2017,,,,,4/12/2017,B3001,,4,18X       ,,,N/A   ,N/A   ,YES   ,3/15/2017,,-         ,0,,4/4/2017,,20,,17.77,6112,A135-41        ,,1RL   ,,FIELD     
BR        ,1869-A,MK-02018X-3128-002A,020-18X-3128-02,"3""-WT-020-3128-A135-41-N                     ",NONE                     ,N/A                 ,3/1/2017,3/3/2017,3/3/2017,3/3/2017,,,,,4/12/2017,B3001,,4,18X       ,,,N/A   ,N/A   ,YES   ,2/9/2017,,-         ,0,,3/3/2017,,20,,0.7,6112,A135-41        ,,1,,FIELD     
BR        ,4124-A,MK-02021X-7122-001A,020-21X-7122-01,"4""-EG-020-7122-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/2/2017,4/4/2017,4/4/2017,,,,,4/12/2017,B3001,,4,21X       ,,,N/A   ,N/A   ,YES   ,3/21/2017,,-         ,0,,4/4/2017,,20,,10.52,6112,A135-01        ,,1,,FIELD     
BR        ,4126-A,MK-02021X-7122-003A,020-21X-7122-03,"1.5""-EG-020-7122-A135-01-N                   ",NONE                     ,N/A                 ,4/2/2017,4/12/2017,4/12/2017,4/12/2017,,,,,4/12/2017,B3001,,4,21X       ,,,N/A   ,N/A   ,YES   ,3/24/2017,,-         ,0,,,,20,,2.31,6112,A135-01        ,,1,,FIELD     
BR        ,5059-A,MK-02023X-7511-004A,020-23X-7511-04,"4""-EG-020-7511-A135-01-N                     ",NONE                     ,N/A                 ,4/7/2017,4/10/2017,4/10/2017,4/10/2017,,,,,4/12/2017,B3001,,4,23X       ,,,N/A   ,N/A   ,YES   ,3/27/2017,,-         ,0,,4/10/2017,,20,,0.42,6112,A135-01        ,,1,,FIELD     
BR        ,1390-A,MK-02027X-2019-D02A,020-27X-2019-D02,"2""-IN-020-2019-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/17/2017,,,,,4/12/2017,B3001,,4,27X       ,,,N/A   ,N/A   ,YES   ,1/12/2017,,-         ,1,,3/17/2017,,20,,39.99,6112,A135-01        ,,1,,CUT       
BR        ,1391-A,MK-02027X-2019-D03A,020-27X-2019-D03,"2""-IN-020-2019-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/16/2017,,,,,4/12/2017,B3001,,4,27X       ,,,N/A   ,N/A   ,YES   ,1/12/2017,,-         ,1,,3/16/2017,,20,,39.99,6112,A135-01        ,,1,,CUT       
BR        ,1391-B,MK-02027X-2019-D03B,020-27X-2019-D03,"2""-IN-020-2019-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/16/2017,,,,,4/12/2017,B3001,,4,27X       ,,,N/A   ,N/A   ,YES   ,1/12/2017,,-         ,1,,3/16/2017,,20,,39.99,6112,A135-01        ,,1,,FIELD     
BR        ,1392-B,MK-02027X-2019-D04B,020-27X-2019-D04,"2""-IN-020-2019-A135-01-N                     ",NONE                     ,N/A                 ,4/2/2017,4/5/2017,4/5/2017,4/5/2017,,,,,4/12/2017,B3001,,4,27X       ,,,N/A   ,N/A   ,YES   ,1/12/2017,,-         ,0,,4/5/2017,,20,,4.99,6112,A135-01        ,,1,,FIELD     
BR        ,3964-A,MK-02001X-1182-001A,020-01X-1182-01,"1""-BD-020-1182-A135-04-N                     ",NONE                     ,N/A                 ,4/12/2017,4/25/2017,4/25/2017,4/25/2017,,,,,5/30/2017,B3002,,12,01X       ,,,N/A   ,N/A   ,YES   ,2/28/2017,,-         ,0,,4/25/2017,,20,,11.87,6112,A135-04        ,,1,1,FIELD     
