Client Tag,Shipped,Order Date,Delivery Date,
T12-16#18-4-0-0-0-CS_43-2~16,Shipped,03/31/20,02/03/20,
T12-16#18-4-0-0-0-CS_43-5~16,Shipped,03/31/20,02/03/20,
T12-16#18-4-0-0-0-CS_44-2~16,Shipped,03/31/20,02/03/20,
T12-16#30-4-0-0-0-CS-M_44-1~16,Shipped,03/31/20,12/17/19,
T12-16#24-4-0-0-0-CS-M_45-3~16,Shipped,03/31/20,12/17/19,
T12-16#18-4-0-0-0-CS_45-1~16,Shipped,03/31/20,02/03/20,
T12-16#18-4-0-0-0-CS_45-2~16,Shipped,03/31/20,02/03/20,
T12-16#18-4-0-0-0-CS_46-1~16,Shipped,03/31/20,02/03/20,
T12-16#18-4-0-0-0-CS_46-3~16,Shipped,03/31/20,02/03/20,
T14-16#18-5-0-0-0-CS-M_47-1~16,Shipped,03/31/20,12/17/19,
T12-16#24-4-0-0-0-CS-M_48-1~16,Shipped,03/31/20,12/17/19,
T12-16#22-4-0-0-0-CS-M_48-3~16,Shipped,03/31/20,12/17/19,
T12-16#18-4-0-0-0-CS_48-2~16,Shipped,03/31/20,02/03/20,
T12-16#30-4-0-0-0-CS-M_49-2~16,Shipped,03/31/20,12/17/19,
T14-16#18-5-0-0-0-CS-M_49-1~16,Shipped,03/31/20,12/17/19,
T14-16#18-5-0-0-0-CS-M_50-2~16,Shipped,03/31/20,12/17/19,
