FORECAST JOB: 6951 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/6951/13F/404-A,Completed with Current Inventory.,1,C2L6MTJ~10,10,8.5,ft,50,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-404-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/404-A,Completed with Current Inventory.,2,C1YAVX8N~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-404-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/404-A,Completed with Current Inventory.,3,PS107-10-18-4_404-A~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-404-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/405-A,Completed with Current Inventory.,1,PS107-10-18-4_405-A~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-405-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/405-A,Completed with Current Inventory.,2,C1YAVX8N~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-405-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/405-A,Completed with Current Inventory.,3,C2L6MTJ~10,10,9.2,ft,50,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-405-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/406-A,Completed with Current Inventory.,1,C2L6MTJ~10,10,8.5,ft,50,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-406-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/406-A,Completed with Current Inventory.,2,C1YAVX8N~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-406-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/406-A,Completed with Current Inventory.,3,PS107-10-18-4_406-A~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-406-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/477-A,Completed with Current Inventory.,1,CPPD8UCB~2,2,11.6,ft,53,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-477-A,13,100%,0,G3A-3,13F
PIPING/6951/13F/477-A,Completed with Current Inventory.,3,C2DF0T4~2,2,1,ea,53,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-477-A,13,100%,0,G3A-3,13F
PIPING/6951/13F/477-A,Completed with Current Inventory.,4,C1HZCLMR~1/2,2-Jan,1,ea,53,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-477-A,13,100%,0,G3A-3,13F
PIPING/6951/13F/477-A,Completed with Current Inventory.,5,CW9Z18~1/2,2-Jan,1,ea,53,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-477-A,13,100%,0,G3A-3,13F
PIPING/6951/13F/477-A,Completed with Current Inventory.,6,CDFJUUP5~1/2,2-Jan,1,ea,53,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-477-A,13,100%,0,G3A-3,13F
PIPING/6951/13F/863-B,Completed with Current Inventory.,1,CPP0AMXK~20,20,1,ft,79,Complete,PORT ALLEN SHOP, , , ,PIPE,6951-863-B,13,100%,0,G1A-6,13F
PIPING/6951/13F/863-B,Completed with Current Inventory.,2,CPPD8UCB~2,2,0.5,ft,79,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-863-B,13,100%,0,G1A-6,13F
PIPING/6951/13F/863-B,Completed with Current Inventory.,3,CLTDDEYL~20X2,20X2,1,ea,79,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-863-B,13,100%,0,G1A-6,13F
PIPING/6951/13F/863-B,Completed with Current Inventory.,4,CFGHMZ1U~20,20,1,ea,79,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-863-B,13,100%,0,G1A-6,13F
PIPING/6951/13F/863-B,Completed with Current Inventory.,5,CFGDKG9N~2,2,1,ea,79,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-863-B,13,100%,0,G1A-6,13F
PIPING/6951/13G/11-A,Completed with Current Inventory.,1,C2NYZTBJ~30,30,18.8,ft,2,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-11-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/11-A,Completed with Current Inventory.,2,C2NYZTBJ~30,30,40,ft,2,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-11-B,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/11-A,Completed with Current Inventory.,3,C103E9DH~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-11-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/11-A,Completed with Current Inventory.,4,PS103-30-18-3-A_11~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-11-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/11-A,Completed with Current Inventory.,5,PS103-30-18-5-A_11~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-11-B,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/12-A,Completed with Current Inventory.,1,C2NYZTBJ~30,30,18.8,ft,2,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-12-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/12-A,Completed with Current Inventory.,2,C2NYZTBJ~30,30,40,ft,2,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-12-B,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/12-A,Completed with Current Inventory.,3,C103E9DH~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-12-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/12-A,Completed with Current Inventory.,4,PS103-30-18-3-A_12~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-12-A,14,100%,0,G3H-1-TP1,13G
PIPING/6951/13G/12-A,Completed with Current Inventory.,5,PS103-30-18-5-A_12~30,30,1,ea,2,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-12-B,14,100%,0,G3H-1-TP1,13G
PIPING/6951/14B/629-A,Completed with Current Inventory.,1,CPP0AMT8~16,16,14.9,ft,84,Complete,PORT ALLEN SHOP, , , ,PIPE,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,2,CPP0AATK~12,12,18.5,ft,84,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,2,CPP0AATK~12,12,18.5,ft,84,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,3,CBR8PVC9~16X12,16X12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,4,CLMV7BE~16X12,16X12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,5,PS109-16-18-F_629-A~16,16,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-629-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/629-A,Completed with Current Inventory.,6,PS109-12-16-F_629-A~12,12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-629-A,7,100%,0,G1U-4-TP1,14B
